DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,CPI,UNRATE,EmpRate,Cons_Material,Population,median_income,Num_Households
2005-01-01,161.289,2005.0,1.0,53719.0,191.6,5.3,71.31705,191.6,294768,69310.0,10161328.0
2005-02-01,163.346,2005.0,2.0,53768.666666666664,192.4,5.4,71.23406999999999,192.4,294955,69374.16666666667,10174064.333333334
2005-03-01,165.81400000000002,2005.0,3.0,53818.333333333336,193.1,5.2,71.28392,193.1,295149,69438.33333333333,10186800.666666666
2005-04-01,167.503,2005.0,4.0,53868.0,193.7,5.2,71.41814000000001,193.7,295359,69502.5,10199537.0
2005-05-01,169.352,2005.0,5.0,53963.0,193.6,5.1,71.52486999999999,193.6,295582,69566.66666666667,10211754.333333334
2005-06-01,171.192,2005.0,6.0,54058.0,193.7,5.0,71.48569,193.7,295824,69630.83333333333,10223971.666666666
2005-07-01,172.861,2005.0,7.0,54153.0,194.9,5.0,71.62,194.9,296077,69695.0,10236189.0
2005-08-01,174.44299999999998,2005.0,8.0,54207.666666666664,196.1,4.9,71.81405,196.1,296338,69759.16666666667,10247820.666666666
2005-09-01,176.43900000000002,2005.0,9.0,54262.333333333336,198.8,5.0,71.69241,198.8,296606,69823.33333333333,10259452.333333334
2005-10-01,178.028,2005.0,10.0,54317.0,199.1,5.0,71.70111999999999,199.1,296857,69887.5,10271084.0
2005-11-01,179.68200000000002,2005.0,11.0,54520.333333333336,198.1,5.0,71.56703,198.1,297089,69951.66666666667,10282062.0
2005-12-01,180.911,2005.0,12.0,54723.666666666664,198.1,4.9,71.63393,198.1,297311,70015.83333333333,10293040.0
2006-01-01,182.321,2006.0,1.0,54927.0,199.3,4.7,71.68687,199.3,297526,70080.0,10304018.0
2006-02-01,183.288,2006.0,2.0,54933.0,199.4,4.8,71.76977,199.4,297734,70174.16666666667,10314275.333333334
2006-03-01,184.365,2006.0,3.0,54939.0,199.7,4.7,71.82084,199.7,297950,70268.33333333333,10324532.666666666
2006-04-01,184.329,2006.0,4.0,54945.0,200.7,4.7,71.79735,200.7,298170,70362.5,10334790.0
2006-05-01,184.155,2006.0,5.0,54925.333333333336,201.3,4.6,71.87387,201.3,298401,70456.66666666667,10344259.666666666
2006-06-01,183.507,2006.0,6.0,54905.666666666664,201.8,4.6,72.01246,201.8,298653,70550.83333333333,10353729.333333334
2006-07-01,183.066,2006.0,7.0,54886.0,202.9,4.7,72.02131999999999,202.9,298910,70645.0,10363199.0
2006-08-01,182.593,2006.0,8.0,54996.0,203.8,4.7,72.1067,203.8,299178,70739.16666666667,10371813.333333334
2006-09-01,182.797,2006.0,9.0,55106.0,202.8,4.5,72.05521,202.8,299452,70833.33333333333,10380427.666666666
2006-10-01,183.197,2006.0,10.0,55216.0,201.9,4.4,72.2447,201.9,299710,70927.5,10389042.0
2006-11-01,183.607,2006.0,11.0,55230.666666666664,202.0,4.5,72.17605999999999,202.0,299950,71021.66666666667,10396734.0
2006-12-01,184.139,2006.0,12.0,55245.333333333336,203.1,4.4,72.31413,203.1,300178,71115.83333333333,10404426.0
2007-01-01,184.517,2007.0,1.0,55260.0,203.437,4.6,72.12104000000001,203.437,300398,71210.0,10412118.0
2007-02-01,184.599,2007.0,2.0,55331.333333333336,204.226,4.5,71.96537,204.226,300608,71007.5,10418820.333333334
2007-03-01,184.15,2007.0,3.0,55402.666666666664,205.288,4.4,71.99693,205.288,300823,70805.0,10425522.666666666
2007-04-01,183.01,2007.0,4.0,55474.0,205.904,4.5,71.71185,205.904,301045,70602.5,10432225.0
2007-05-01,181.601,2007.0,5.0,55532.333333333336,206.755,4.4,71.75803,206.755,301278,70400.0,10437870.333333334
2007-06-01,180.253,2007.0,6.0,55590.666666666664,207.234,4.6,71.77556,207.234,301528,70197.5,10443515.666666666
2007-07-01,179.11,2007.0,7.0,55649.0,207.603,4.7,71.74475,207.603,301790,69995.0,10449161.0
